date,symbol,price,resistance,score,grade,setup_type,breakout_strength,volume_ratio,insight,day1_return,day2_return,result
2026-03-19,ETON,20.77,19.98,40.25,B+,Compression Breakout,3.95,2.06,"Valid resistance, clear higher lows, tight compression, heavy volume expansion, controlled breakout",,,
2026-03-19,FIVE,235.17,229.33,39.55,B,Compression Breakout,2.55,3.58,"Valid resistance, clear higher lows, tight compression, heavy volume expansion, controlled breakout",,,
2026-03-19,INV,4.065,4.0,39.36,B,Compression Breakout,1.63,1.35,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-19,VSAT,52.12,51.0,37.77,B,Compression Breakout,2.2,1.72,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-19,BCRX,9.81,9.6,33.52,C,Compression Breakout,2.19,1.47,"Valid resistance, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-23,ADEA,24.5,23.8,45.59,A,Compression Breakout,2.94,1.53,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-23,SOPH,5.19,5.1,45.39,A,Compression Breakout,1.76,2.52,"Strong resistance base, clear higher lows, tight compression, heavy volume expansion, controlled breakout",,,
2026-03-23,APGE,79.24,77.58,33.14,C,Compression Breakout,2.14,3.37,"Valid resistance, rising support, tight compression, heavy volume expansion, controlled breakout",,,
2026-03-23,ADEA,24.5,23.8,45.59,A,Compression Breakout,2.94,1.53,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-23,SOPH,5.19,5.1,45.39,A,Compression Breakout,1.76,2.52,"Strong resistance base, clear higher lows, tight compression, heavy volume expansion, controlled breakout",,,
2026-03-23,APGE,79.24,77.58,33.14,C,Compression Breakout,2.14,3.37,"Valid resistance, rising support, tight compression, heavy volume expansion, controlled breakout",,,
2026-03-24,RICK,24.72,24.31,50.08,A+,Compression Breakout,1.69,1.88,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-24,AHCO,11.48,10.93,40.82,B+,Momentum Breakout,5.03,1.56,"Strong resistance base, clear higher lows, tight compression, volume confirmation, strong momentum breakout",,,
2026-03-24,ADTN,12.53,12.29,35.21,B,Compression Breakout,1.95,1.45,"Valid resistance, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-24,AEIS,356.38,350.0,33.65,C,Compression Breakout,1.82,1.57,"Valid resistance, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-25,VRSN,251.7,245.67,56.24,A+,Compression Breakout,2.45,1.56,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-25,SIDU,2.84,2.63,49.98,A,Momentum Breakout,7.98,4.2,"Strong resistance base, clear higher lows, tight compression, heavy volume expansion, strong momentum breakout",,,
2026-03-25,SMMT,17.94,16.8,49.86,A,Momentum Breakout,6.79,2.21,"Strong resistance base, clear higher lows, tight compression, heavy volume expansion, strong momentum breakout",,,
2026-03-25,GSAT,67.37,65.019997,44.61,B+,Compression Breakout,3.61,3.31,"Valid resistance, clear higher lows, tight compression, heavy volume expansion, controlled breakout",,,
2026-03-25,SSSS,10.55,10.36,42.47,B+,Compression Breakout,1.83,1.73,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-25,AKAM,119.080002,115.64,41.61,B+,Compression Breakout,2.97,1.33,"Valid resistance, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-25,VRSN,251.7,245.67,56.24,A+,Compression Breakout,2.45,1.56,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-25,CASY,714.22998,696.65997,52.02,A+,Compression Breakout,2.52,1.3,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-25,SIDU,2.84,2.63,49.98,A,Momentum Breakout,7.98,4.22,"Strong resistance base, clear higher lows, tight compression, heavy volume expansion, strong momentum breakout",,,
2026-03-25,SMMT,17.94,16.8,49.86,A,Momentum Breakout,6.79,2.21,"Strong resistance base, clear higher lows, tight compression, heavy volume expansion, strong momentum breakout",,,
2026-03-25,SSSS,10.55,10.36,42.47,B+,Compression Breakout,1.83,1.73,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-25,AKAM,119.15,115.64,42.33,B+,Compression Breakout,3.04,1.46,"Valid resistance, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-25,CNTB,3.36,3.17,42.12,B+,Momentum Breakout,5.99,2.82,"Valid resistance, clear higher lows, tight compression, heavy volume expansion, strong momentum breakout",,,
2026-03-25,ORKA,43.81,42.88,39.8,B,Compression Breakout,2.17,1.33,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-26,FCHL,3.57,3.345,50.73,A+,Momentum Breakout,6.73,13.98,"Strong resistance base, clear higher lows, tight compression, heavy volume expansion, strong momentum breakout",,,
2026-03-26,MDGL,518.76001,498.10001,43.15,B+,Momentum Breakout,4.15,3.79,"Valid resistance, clear higher lows, tight compression, heavy volume expansion, strong momentum breakout",,,
2026-03-26,SYRE,47.52,45.79,36.9,B,Compression Breakout,3.78,1.62,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
2026-03-26,FCHL,3.55,3.345,50.13,A+,Momentum Breakout,6.13,13.57,"Strong resistance base, clear higher lows, tight compression, heavy volume expansion, strong momentum breakout",,,
2026-03-26,MDGL,518.76001,498.10001,43.15,B+,Momentum Breakout,4.15,3.79,"Valid resistance, clear higher lows, tight compression, heavy volume expansion, strong momentum breakout",,,
2026-03-26,SYRE,47.52,45.79,36.9,B,Compression Breakout,3.78,1.62,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",,,
