Selection Date,Symbol,Price Found,Pre-FINRA Rank,Pre-Pressure Rank,Final Rank,Technical Score,X-Factor Score,X-Factor Boost,Venue Score,Venue Boost,Pressure Building Index,Pressure Label,Pressure Tier,Pressure Boost,Final Score,Structure Timing,FINRA Percentile,Multi-Venue Weeks,Consecutive Multi-Venue Weeks,Strongest Unusual Venue Count
2026-09-09,LIVN,80.69,2,1,1,88.0,74,5,89,8,78,PRESSURE_BUILD_DETECTED,ACTIVE_PRESSURE_BUILD,4,105.0,EARLY_CONSTRUCTIVE,91.7,2,1,15
2026-09-09,LITE,978.54,1,2,2,91.0,34,0,100,8,80,PRESSURE_BUILD_DETECTED,ACTIVE_PRESSURE_BUILD,4,103.0,EARLY_CONSTRUCTIVE,64.0,3,3,13
2026-09-09,XPEL,49.98,8,4,3,81.0,78,8,85,8,72,EARLY_PRESSURE_BUILD,ACTIVE_PRESSURE_BUILD,2,99.0,CONSTRUCTIVE_BASE,95.8,2,1,13
2026-09-09,TGTX,55.68,5,5,4,84.0,42,0,100,8,93,STRONG_PRESSURE_BUILD,ACTIVE_PRESSURE_BUILD,6,98.0,CONSTRUCTIVE_BASE,83.3,4,4,11
2026-09-09,NAVI,9.47,7,3,5,83.0,80,8,90,8,68,RECENT_OR_INCOMPLETE_PRESSURE_EVIDENCE,RECENT_PRESSURE_EVIDENCE,0,99.0,EARLY_CONSTRUCTIVE,100.0,1,1,12
2026-09-09,KNSA,77.16,8,6,6,81.0,48,0,87,8,50,RECENT_OR_INCOMPLETE_PRESSURE_EVIDENCE,RECENT_PRESSURE_EVIDENCE,0,89.0,EARLY_CONSTRUCTIVE,56.2,1,0,23
2026-09-10,LITE,988.98,2,1,1,91.0,34,0,100,8,79,PRESSURE_BUILD_DETECTED,ACTIVE_PRESSURE_BUILD,4,103.0,CONSTRUCTIVE_BASE,64.0,3,3,13
2026-09-10,SNEX,69.34,6,2,2,82.0,70,5,93,8,92,STRONG_PRESSURE_BUILD,ACTIVE_PRESSURE_BUILD,6,101.0,CONSTRUCTIVE_BASE,97.9,4,4,10
2026-09-10,PCRX,25.88,15,6,3,74.0,66,5,100,8,92,STRONG_PRESSURE_BUILD,ACTIVE_PRESSURE_BUILD,6,93.0,EARLY_CONSTRUCTIVE,87.5,4,4,22
2026-09-10,INTC,106.24,3,4,4,88.0,37,0,100,0,77,RECENT_OR_INCOMPLETE_PRESSURE_EVIDENCE,RECENT_PRESSURE_EVIDENCE,0,88.0,CONSTRUCTIVE_BASE,44.0,4,4,15
2026-09-10,SAFT,103.43,1,3,5,94.0,54,0,100,0,75,BLOCKED_BY_STRUCTURE_TIMING,UNCONFIRMED,0,94.0,POST_MOVE_ACTIVITY,95.8,3,3,16
2026-09-10,PAYO,7.11,3,5,6,88.0,51,0,87,0,58,BLOCKED_BY_STRUCTURE_TIMING,UNCONFIRMED,0,88.0,CHOPPY_FLAT,93.8,2,2,3
2026-09-11,AGIO,33.64,10,6,1,81.0,29,0,98,8,75,PRESSURE_BUILD_DETECTED,ACTIVE_PRESSURE_BUILD,4,93.0,EARLY_CONSTRUCTIVE,68.8,3,3,15
2026-09-11,DBX,35.05,4,4,2,90.0,57,2,100,0,80,RECENT_OR_INCOMPLETE_PRESSURE_EVIDENCE,RECENT_PRESSURE_EVIDENCE,0,92.0,EARLY_CONSTRUCTIVE,28.0,4,4,10
2026-09-11,OBIO,,4,5,3,90.0,30,0,80,0,35,RECENT_OR_INCOMPLETE_PRESSURE_EVIDENCE,RECENT_PRESSURE_EVIDENCE,0,90.0,EXTENDED_BREAKOUT,27.1,1,0,4
2026-09-11,HPK,8.58,1,1,4,102.0,37,0,10,0,25,NO_CURRENT_PRESSURE_CONFIRMATION,UNCONFIRMED,0,102.0,EARLY_CONSTRUCTIVE,16.7,0,0,0
2026-09-11,AVO,13.24,2,2,5,94.0,39,0,51,0,57,NO_CURRENT_PRESSURE_CONFIRMATION,UNCONFIRMED,0,94.0,EARLY_CONSTRUCTIVE,70.8,1,1,2
2026-09-11,SAFT,103.32,2,3,5,94.0,54,0,100,0,72,BLOCKED_BY_STRUCTURE_TIMING,UNCONFIRMED,0,94.0,POST_MOVE_ACTIVITY,95.8,3,3,16
2026-09-12,ERIC,10.31,4,5,1,89.0,46,0,100,0,77,PRESSURE_BUILD_DETECTED,ACTIVE_PRESSURE_BUILD,4,93.0,CONSTRUCTIVE_BASE,58.3,4,4,28
2026-09-12,FCFS,228.38,11,6,1,81.0,49,0,100,8,75,PRESSURE_BUILD_DETECTED,ACTIVE_PRESSURE_BUILD,4,93.0,CONSTRUCTIVE_BASE,75.0,3,0,14
2026-09-12,LFST,12.97,9,2,3,83.0,67,5,90,8,67,RECENT_OR_INCOMPLETE_PRESSURE_EVIDENCE,RECENT_PRESSURE_EVIDENCE,0,96.0,EARLY_CONSTRUCTIVE,87.5,1,1,14
2026-09-12,TRMD,35.08,1,1,4,100.0,37,0,8,0,23,NO_CURRENT_PRESSURE_CONFIRMATION,UNCONFIRMED,0,100.0,EARLY_CONSTRUCTIVE,20.8,0,0,0
2026-09-12,HPK,8.47,2,3,5,92.0,34,0,10,0,25,NO_CURRENT_PRESSURE_CONFIRMATION,UNCONFIRMED,0,92.0,EARLY_CONSTRUCTIVE,16.7,0,0,0
2026-09-12,SAFT,103.42,3,4,6,91.0,54,0,100,0,72,BLOCKED_BY_STRUCTURE_TIMING,UNCONFIRMED,0,91.0,POST_MOVE_ACTIVITY,95.8,3,3,16
